,M,S,P,V,C
114,E,A,4,3,1.2187401000000002
21,A,D,4,3,1.1062483
122,C,A,5,1,0.5437528
34,C,C,6,5,0.5062525
74,A,C,4,1,0.35625148
85,B,E,5,4,0.46875226
57,B,D,4,3,1.0312537
52,B,E,3,2,4.6999955
95,A,D,6,5,0.5062525
43,B,D,4,1,0.24375070000000001
51,C,B,3,2,4.499986
33,C,A,6,2,0.5437528
145,E,C,3,2,1.4999949
118,E,A,4,2,0.99375594
69,B,D,4,2,0.39375174
161,C,E,6,5,0.46875226
54,B,B,4,2,0.7312541
157,A,B,3,1,4.6999955
41,C,B,4,3,0.88125515
115,A,A,4,1,0.8437549000000001
127,D,A,5,4,0.431252
81,A,C,6,5,0.5062525
17,B,C,5,4,0.46875226
